"","x"
"1","Canada"
"2","Mexico"
"3","Guatemala"
"4","Belize"
"5","El Salvador"
"6","Honduras"
"7","Nicaragua"
"8","Costa Rica"
"9","Panama"
"10","Bermuda"
"11","Bahamas"
"12","Cuba"
"13","Jamaica"
"14","Turks Is"
"15","Cayman Isl"
"16","Haiti"
"17","Dominican Republic"
"18","British Virgin"
"19","Anguilla"
"20","Antigua"
"21","St. Kitts Nevis"
"22","Montserrat"
"23","Dominica"
"24","St. Lucia"
"25","St. Vincent"
"26","Grenada"
"27","Barbados"
"28","Trinidad"
"29","Aruba"
"30","Guadeloupe"
"31","Martinique"
"32","Colombia"
"33","Venezuela"
"34","Guyana"
"35","Suriname"
"36","French Guiana"
"37","Ecuador"
"38","Peru"
"39","Chile"
"40","Brazil"
"41","Paraguay"
"42","Uruguay"
"43","Argentina"
"44","Iceland"
"45","Sweden"
"46","Norway"
"47","Finland"
"48","Denmark"
"49","United Kingdom"
"50","Ireland"
"51","Netherlands"
"52","Belgium"
"53","France"
"54","Germany"
"55","Estonia"
"56","Latvia"
"57","Lithuania"
"58","Poland"
"59","Russia"
"60","Georgia"
"61","Spain"
"62","Portugal"
"63","Gibraltar"
"64","Malta"
"65","Italy"
"66","Slovenia"
"67","Croatia"
"68","Albania"
"69","Greece"
"70","Romania"
"71","Bulgaria"
"72","Turkey"
"73","Cyprus"
"74","Syria"
"75","Lebanon"
"76","Iraq"
"77","Israel"
"78","Jordan"
"79","Kuwait"
"80","Saudi Arabia"
"81","Qatar"
"82","United Arab Em"
"83","Yemen"
"84","Oman"
"85","Bahrain"
"86","India"
"87","Pakistan"
"88","Bangladesh"
"89","Sri Lanka"
"90","Burma"
"91","Thailand"
"92","Vietnam"
"93","Cambodia"
"94","Malaysia"
"95","Singapore"
"96","Indonesia"
"97","Brunei"
"98","Philippines"
"99","Macau"
"100","Maldives"
"101","China"
"102","South Korea"
"103","Hong Kong"
"104","China Taiwan"
"105","Japan"
"106","Australia"
"107","Papua New Guinea"
"108","New Zealand"
"109","Samoa"
"110","Vanuatu"
"111","Tuvalu"
"112","New Caledonia"
"113","French Polyn"
"114","Fiji"
"115","Nauru"
"116","Tonga"
"117","Morocco"
"118","Algeria"
"119","Tunisia"
"120","Libya"
"121","Egypt"
"122","Sudan"
"123","Equatorial Gui"
"124","Mauritania"
"125","Cameroon"
"126","Senegal"
"127","Guinea"
"128","Sierra Leone"
"129","Ivory Coast"
"130","Ghana"
"131","Gambia"
"132","Togo"
"133","Nigeria"
"134","Gabon"
"135","Benin"
"136","Angola"
"137","Congo Brazzaville"
"138","Cape Verde"
"139","Guinea Bissau"
"140","Sao Tome and Principe"
"141","Liberia"
"142","Congo Kinshasha"
"143","Somalia"
"144","Eritrea"
"145","Djibouti"
"146","Kenya"
"147","Seychelles"
"148","Tanzania"
"149","Mauritius"
"150","Mozambique"
"151","Madagascar"
"152","Comoros"
"153","Reunion"
"154","South Africa"
"155","Namibia"
"156","Northern Marian"
"157","Unknown"
