"","Port_Country","PORT","PORT_NAME","YEAR","TYPE_PROC","STATE","FORPORT","FORPORT_NAME","CTRY_F","CTRY_F_NAME","CTRY_C","CTRY_C_NAME","PMS_COMM","PMS_NAME","TONNAGE","COASTDST","Good_Category","Dom_Lat","Dom_Lon","FORPORT.y","FORPORT_NAME.y","CTRY_F_NAME.y","For_Lat","For_Lon"
"1","Aalborg Denmark",2031,"Port of Houston Authority of Harris County, TX","2022","Export","TX",40903,"Aalborg","4099","Denmark",4099,"Denmark",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",16.2927076616126,"Gulf of Mexico","Industrial goods",29.7381770771277,-95.1582778404255,40903,"Aalborg","Denmark",57.052,9.925
"2","Aalborg Denmark",3204,"Toledo-Lucas County Port Authority, OH","2022","Export","OH",40903,"Aalborg","4099","Denmark",4099,"Denmark",24,"Petroleum Pitches, Coke, Asphalt, Naptha and Solvents",49052.8392775454,"Great Lakes","Coal, Oil, and Petrochemicals",41.6722794347826,-83.4870269565217,40903,"Aalborg","Denmark",57.052,9.925
"3","Aalborg Denmark",775,"Port of Charleston, SC","2022","Export","SC",40903,"Aalborg","4099","Denmark",4099,"Denmark",70,"All Manufactured Equipment, Machinery and Products",62.3709607191477,"South Atlantic","Industrial goods",32.8681967272727,-79.940669,40903,"Aalborg","Denmark",57.052,9.925
"4","Aalborg Denmark",776,"Port of Savannah, GA","2022","Export","GA",40903,"Aalborg","4099","Denmark",4099,"Denmark",47,"Sulphur (Dry), Clay & Salt",574.766999013432,"South Atlantic","Ore, Rock and Minerals",32.0981594893617,-81.0874694893617,40903,"Aalborg","Denmark",57.052,9.925
"5","Aalborg Denmark",2031,"Port of Houston Authority of Harris County, TX","2022","Export","TX",40903,"Aalborg","4099","Denmark",4099,"Denmark",70,"All Manufactured Equipment, Machinery and Products",16.2927076616126,"Gulf of Mexico","Industrial goods",29.7381770771277,-95.1582778404255,40903,"Aalborg","Denmark",57.052,9.925
"6","Aalborg Denmark",2255,"Plaquemines Port, Harbor and Terminal District, LA","2022","Export","LA",40903,"Aalborg","4099","Denmark",4099,"Denmark",10,"Coal,Lignite & Coal Coke",32523.6859075051,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.5387378571429,-89.7289103333333,40903,"Aalborg","Denmark",57.052,9.925
"7","Aalborg Denmark",2031,"Port of Houston Authority of Harris County, TX","2022","Export","TX",40903,"Aalborg","4099","Denmark",4099,"Denmark",24,"Petroleum Pitches, Coke, Asphalt, Naptha and Solvents",34331.5167358367,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.7381770771277,-95.1582778404255,40903,"Aalborg","Denmark",57.052,9.925
"8","Aalesund Norway",2031,"Port of Houston Authority of Harris County, TX","2022","Export","TX",40301,"Aalesund","4039","Norway",4039,"Norway",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",6.08475669240563,"Gulf of Mexico","Industrial goods",29.7381770771277,-95.1582778404255,40301,"Aalesund","Norway",62.466,6.17
"9","Aalesund Norway",4939,"Unalaska Island, AK","2022","Export","AK",40301,"Aalesund","4039","Norway",4039,"Norway",61,"Fish",108.523619768845,"Alaska","Fish and Marine Goods",53.8911216190476,-166.53210652381,40301,"Aalesund","Norway",62.466,6.17
"10","Aardal Norway",2416,"Port Arthur, TX","2022","Export","TX",40302,"Aardal","4039","Norway",4039,"Norway",24,"Petroleum Pitches, Coke, Asphalt, Naptha and Solvents",25648.6027105827,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.893605027027,-93.920496972973,40302,"Aardal","Norway",61.234,7.707
"11","Aardal Norway",2253,"Port of South Louisiana, LA","2022","Export","LA",40302,"Aardal","4039","Norway",4039,"Norway",24,"Petroleum Pitches, Coke, Asphalt, Naptha and Solvents",9358.6304777967,"Gulf of Mexico","Coal, Oil, and Petrochemicals",30.017056986755,-90.5871497086093,40302,"Aardal","Norway",61.234,7.707
"12","Aardal Norway",2251,"Port of New Orleans, LA","2022","Export","LA",40302,"Aardal","4039","Norway",4039,"Norway",24,"Petroleum Pitches, Coke, Asphalt, Naptha and Solvents",16977.3631067533,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.9488954642857,-90.0661620714286,40302,"Aardal","Norway",61.234,7.707
"13","Aarhus Denmark",2031,"Port of Houston Authority of Harris County, TX","2022","Export","TX",40906,"Aarhus","4099","Denmark",4099,"Denmark",68,"Other Agricultural Products; Food and Kindred Products",173.041882306255,"Gulf of Mexico","Agricultural goods",29.7381770771277,-95.1582778404255,40906,"Aarhus","Denmark",56.161,10.24
"14","Aarhus Denmark",1992,"PortMiami, FL","2022","Export","FL",40906,"Aarhus","4099","Denmark",4099,"Denmark",70,"All Manufactured Equipment, Machinery and Products",49.2997459173157,"South Atlantic","Industrial goods",25.7826253333333,-80.2008171296296,40906,"Aarhus","Denmark",56.161,10.24
"15","Aarhus Denmark",2031,"Port of Houston Authority of Harris County, TX","2022","Export","TX",40906,"Aarhus","4099","Denmark",4099,"Denmark",23,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",7.71617696500714,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.7381770771277,-95.1582778404255,40906,"Aarhus","Denmark",56.161,10.24
"16","Aarhus Denmark",2031,"Port of Houston Authority of Harris County, TX","2022","Export","TX",40906,"Aarhus","4099","Denmark",4099,"Denmark",99,"Unknown or Not Elsewhere Classified",1.49032446524138,"Gulf of Mexico","Other Goods",29.7381770771277,-95.1582778404255,40906,"Aarhus","Denmark",56.161,10.24
"17","Aarhus Denmark",2251,"Port of New Orleans, LA","2022","Export","LA",40906,"Aarhus","4099","Denmark",4099,"Denmark",67,"Animal Feed, Grain Mill Products, Flour, Processed Grains",54563.6692515859,"Gulf of Mexico","Agricultural goods",29.9488954642857,-90.0661620714286,40906,"Aarhus","Denmark",56.161,10.24
"18","Aarhus Denmark",700,"Baltimore, MD","2022","Export","MD",40906,"Aarhus","4099","Denmark",4099,"Denmark",46,"Non-Ferrous Ores and Scrap",111.613397487833,"North Atlantic","Ore, Rock and Minerals",39.2406340648148,-76.5608341388889,40906,"Aarhus","Denmark",56.161,10.24
"19","Aarhus Denmark",5700,"Port of Virginia, VA","2022","Export","VA",40906,"Aarhus","4099","Denmark",4099,"Denmark",99,"Unknown or Not Elsewhere Classified",16.6583221724345,"North Atlantic","Other Goods",36.8560355769231,-76.31769725,40906,"Aarhus","Denmark",56.161,10.24
"20","Aarhus Denmark",5700,"Port of Virginia, VA","2022","Export","VA",40906,"Aarhus","4099","Denmark",4099,"Denmark",67,"Animal Feed, Grain Mill Products, Flour, Processed Grains",412.5071732888,"North Atlantic","Agricultural goods",36.8560355769231,-76.31769725,40906,"Aarhus","Denmark",56.161,10.24
"21","Aarhus Denmark",90,"Port of Boston, MA","2022","Export","MA",40906,"Aarhus","4099","Denmark",4099,"Denmark",53,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)",16.9866124329657,"North Atlantic","Industrial goods",42.3621626333333,-71.0343822833333,40906,"Aarhus","Denmark",56.161,10.24
"22","Aarhus Denmark",775,"Port of Charleston, SC","2022","Export","SC",40906,"Aarhus","4099","Denmark",4099,"Denmark",52,"Building Cement & Concrete; Lime; Glass",20.4776313541339,"South Atlantic","Industrial goods",32.8681967272727,-79.940669,40906,"Aarhus","Denmark",56.161,10.24
"23","Aarhus Denmark",4110,"Port of Long Beach, CA","2022","Export","CA",40906,"Aarhus","4099","Denmark",4099,"Denmark",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",9.18004596636849,"South Pacific","Industrial goods",33.7593811044776,-118.212307373134,40906,"Aarhus","Denmark",56.161,10.24
"24","Aarhus Denmark",5700,"Port of Virginia, VA","2022","Export","VA",40906,"Aarhus","4099","Denmark",4099,"Denmark",41,"Forest Products, Lumber, Logs, Woodchips",524.505354475658,"North Atlantic","Wood and Wood Products",36.8560355769231,-76.31769725,40906,"Aarhus","Denmark",56.161,10.24
"25","Aarhus Denmark",90,"Port of Boston, MA","2022","Export","MA",40906,"Aarhus","4099","Denmark",4099,"Denmark",99,"Unknown or Not Elsewhere Classified",4.42050959837299,"North Atlantic","Other Goods",42.3621626333333,-71.0343822833333,40906,"Aarhus","Denmark",56.161,10.24
"26","Aarhus Denmark",398,"Port Authority of New York and New Jersey, NY & NJ","2022","Export","NJ",40906,"Aarhus","4099","Denmark",4099,"Denmark",70,"All Manufactured Equipment, Machinery and Products",152.298704233425,"North Atlantic","Industrial goods",40.6838191489362,-74.0476073170213,40906,"Aarhus","Denmark",56.161,10.24
"27","Aarhus Denmark",5700,"Port of Virginia, VA","2022","Export","VA",40906,"Aarhus","4099","Denmark",4099,"Denmark",32,"Other Chemicals and Related Products",11.193394952518,"North Atlantic","Industrial goods",36.8560355769231,-76.31769725,40906,"Aarhus","Denmark",56.161,10.24
"28","Aarhus Denmark",398,"Port Authority of New York and New Jersey, NY & NJ","2022","Export","NJ",40906,"Aarhus","4099","Denmark",4099,"Denmark",52,"Building Cement & Concrete; Lime; Glass",18.4934715631321,"North Atlantic","Industrial goods",40.6838191489362,-74.0476073170213,40906,"Aarhus","Denmark",56.161,10.24
"29","Aarhus Denmark",4344,"Port of Oakland, CA","2022","Export","CA",40906,"Aarhus","4099","Denmark",4099,"Denmark",68,"Other Agricultural Products; Food and Kindred Products",1150.60868510833,"South Pacific","Agricultural goods",37.79946928,-122.2975068,40906,"Aarhus","Denmark",56.161,10.24
"30","Aarhus Denmark",2251,"Port of New Orleans, LA","2022","Export","LA",40906,"Aarhus","4099","Denmark",4099,"Denmark",10,"Coal,Lignite & Coal Coke",14033.521277358,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.9488954642857,-90.0661620714286,40906,"Aarhus","Denmark",56.161,10.24
"31","Aarhus Denmark",4719,"Tacoma, WA","2022","Export","WA",40906,"Aarhus","4099","Denmark",4099,"Denmark",61,"Fish",22.8795670122412,"North Pacific","Fish and Marine Goods",47.2644141466667,-122.439745986667,40906,"Aarhus","Denmark",56.161,10.24
"32","Aarhus Denmark",4709,"Grays Harbor Port District, WA","2022","Export","WA",40906,"Aarhus","4099","Denmark",4099,"Denmark",24,"Petroleum Pitches, Coke, Asphalt, Naptha and Solvents",5303.2245021688,"North Pacific","Coal, Oil, and Petrochemicals",46.9604261333333,-123.854663333333,40906,"Aarhus","Denmark",56.161,10.24
"33","Aarhus Denmark",4120,"Port of Los Angeles, CA","2022","Export","CA",40906,"Aarhus","4099","Denmark",4099,"Denmark",70,"All Manufactured Equipment, Machinery and Products",69.8457315762496,"South Pacific","Industrial goods",33.7435338367347,-118.269611561224,40906,"Aarhus","Denmark",56.161,10.24
"34","Aarhus Denmark",4344,"Port of Oakland, CA","2022","Export","CA",40906,"Aarhus","4099","Denmark",4099,"Denmark",66,"Vegetable Products",16.1356283448249,"South Pacific","Agricultural goods",37.79946928,-122.2975068,40906,"Aarhus","Denmark",56.161,10.24
"35","Aarhus Denmark",398,"Port Authority of New York and New Jersey, NY & NJ","2022","Export","NJ",40906,"Aarhus","4099","Denmark",4099,"Denmark",67,"Animal Feed, Grain Mill Products, Flour, Processed Grains",1155.84411117909,"North Atlantic","Agricultural goods",40.6838191489362,-74.0476073170213,40906,"Aarhus","Denmark",56.161,10.24
"36","Aarhus Denmark",4120,"Port of Los Angeles, CA","2022","Export","CA",40906,"Aarhus","4099","Denmark",4099,"Denmark",68,"Other Agricultural Products; Food and Kindred Products",22.750596625826,"South Pacific","Agricultural goods",33.7435338367347,-118.269611561224,40906,"Aarhus","Denmark",56.161,10.24
