"","FORPORT_NAME","PORT","PORT_NAME","YEAR","TYPE_PROC","STATE","FORPORT.x","CTRY_F","CTRY_F_NAME","CTRY_C","CTRY_C_NAME","PMS_COMM","PMS_NAME","TONNAGE","COASTDST","Good_Category","Dom_Lat","Dom_Lon","FORPORT.y","Country Name","For_Lat","For_Lon"
"1","Aalborg",2416,"Port Arthur, TX","2018","Export","TX",40903,"4099","Denmark",4099,"Denmark",24,"Petroleum Pitches, Coke, Asphalt, Naptha and Solvents",34927,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.893605027027,-93.920496972973,40903,"Denmark",57.052,9.925
"2","Aardal",2416,"Port Arthur, TX","2018","Export","TX",40302,"4039","Norway",4039,"Norway",24,"Petroleum Pitches, Coke, Asphalt, Naptha and Solvents",41586,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.893605027027,-93.920496972973,40302,"Norway",61.234,7.707
"3","Aarhus",700,"Baltimore, MD","2018","Export","MD",40906,"4099","Denmark",4099,"Denmark",41,"Forest Products, Lumber, Logs, Woodchips",22,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,40906,"Denmark",56.161,10.24
"4","Aarhus",700,"Baltimore, MD","2018","Export","MD",40906,"4099","Denmark",4099,"Denmark",55,"Primary Wood Products; Veneer; Plywood",23,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,40906,"Denmark",56.161,10.24
"5","Abidjan",700,"Baltimore, MD","2018","Export","MD",74825,"7480","Ivory Coast",7480,"Ivory Coast",99,"Unknown or Not Elsewhere Classified",201,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,74825,"Cote d'Ivoire",5.313,-4.025
"6","Abidjan",700,"Baltimore, MD","2018","Export","MD",74825,"7480","Ivory Coast",7480,"Ivory Coast",43,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material",98,"North Atlantic","Ore, Rock and Minerals",39.2406340648148,-76.5608341388889,74825,"Cote d'Ivoire",5.313,-4.025
"7","Abidjan",2417,"Galveston, TX","2018","Export","TX",74825,"7480","Ivory Coast",7480,"Ivory Coast",43,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material",0,"Gulf of Mexico","Ore, Rock and Minerals",29.3124683918919,-94.8089730675676,74825,"Cote d'Ivoire",5.313,-4.025
"8","Abidjan",700,"Baltimore, MD","2018","Export","MD",74825,"7480","Ivory Coast",7480,"Ivory Coast",51,"Paper & Allied Products",21,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,74825,"Cote d'Ivoire",5.313,-4.025
"9","Abidjan",2417,"Galveston, TX","2018","Export","TX",74825,"7480","Ivory Coast",7480,"Ivory Coast",32,"Other Chemicals and Related Products",59,"Gulf of Mexico","Industrial goods",29.3124683918919,-94.8089730675676,74825,"Cote d'Ivoire",5.313,-4.025
"10","Abidjan",2017,"Jacksonville, FL","2018","Export","FL",74825,"7480","Ivory Coast",7480,"Ivory Coast",99,"Unknown or Not Elsewhere Classified",4,"South Atlantic","Other Goods",30.3683817857143,-81.5721939428571,74825,"Cote d'Ivoire",5.313,-4.025
"11","Abidjan",2417,"Galveston, TX","2018","Export","TX",74825,"7480","Ivory Coast",7480,"Ivory Coast",99,"Unknown or Not Elsewhere Classified",44,"Gulf of Mexico","Other Goods",29.3124683918919,-94.8089730675676,74825,"Cote d'Ivoire",5.313,-4.025
"12","Abidjan",700,"Baltimore, MD","2018","Export","MD",74825,"7480","Ivory Coast",7480,"Ivory Coast",70,"All Manufactured Equipment, Machinery and Products",2009,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,74825,"Cote d'Ivoire",5.313,-4.025
