"","Port_Country","PORT","PORT_NAME","YEAR","TYPE_PROC","STATE","FORPORT","FORPORT_NAME","CTRY_F","CTRY_F_NAME","CTRY_C","CTRY_C_NAME","PMS_COMM","PMS_NAME","TONNAGE","COASTDST","Good_Category","Dom_Lat","Dom_Lon","FORPORT.y","FORPORT_NAME.y","CTRY_F_NAME.y","For_Lat","For_Lon"
"1","Aabenraa Denmark",2408,"Port Freeport, TX","2020","Import","TX",40901,"Aabenraa","4099","Denmark",3010,"Colombia",70,"All Manufactured Equipment, Machinery and Products",19,"Gulf of Mexico","Industrial goods",28.9546687619048,-95.3488635079365,40901,"Aabenraa","Denmark",55.034,9.433
"2","Aabenraa Denmark",1913,"San Juan, PR","2020","Import","PR",40901,"Aabenraa","4099","Denmark",3010,"Colombia",70,"All Manufactured Equipment, Machinery and Products",25,"Puerto Rico/Virgin Islands","Industrial goods",18.4481375,-66.0993814,40901,"Aabenraa","Denmark",55.034,9.433
"3","Aabenraa Denmark",2252,"Port of Greater Baton Rouge, LA","2020","Import","LA",40901,"Aabenraa","4099","Denmark",4099,"Denmark",70,"All Manufactured Equipment, Machinery and Products",0,"Gulf of Mexico","Industrial goods",30.3404257966102,-91.1570213135593,40901,"Aabenraa","Denmark",55.034,9.433
"4","Aabenraa Denmark",2393,"Beaumont, TX","2020","Import","TX",40901,"Aabenraa","4099","Denmark",4099,"Denmark",24,"Petroleum Pitches, Coke, Asphalt, Naptha and Solvents",23089,"Gulf of Mexico","Coal, Oil, and Petrochemicals",30.039934825,-94.0255121125,40901,"Aabenraa","Denmark",55.034,9.433
"5","Aalborg Denmark",776,"Port of Savannah, GA","2020","Import","GA",40903,"Aalborg","4099","Denmark",4099,"Denmark",70,"All Manufactured Equipment, Machinery and Products",2,"South Atlantic","Industrial goods",32.0981594893617,-81.0874694893617,40903,"Aalborg","Denmark",57.052,9.925
"6","Aalborg Denmark",2021,"Tampa Port Authority, FL","2020","Import","FL",40903,"Aalborg","4099","Denmark",4099,"Denmark",52,"Building Cement & Concrete; Lime; Glass",165936,"Gulf of Mexico","Industrial goods",27.9051726236559,-82.4451260537634,40903,"Aalborg","Denmark",57.052,9.925
"7","Aalborg Denmark",2021,"Tampa Port Authority, FL","2020","Import","FL",40903,"Aalborg","4099","Denmark",4099,"Denmark",32,"Other Chemicals and Related Products",1,"Gulf of Mexico","Industrial goods",27.9051726236559,-82.4451260537634,40903,"Aalborg","Denmark",57.052,9.925
"8","Aalesund Norway",776,"Port of Savannah, GA","2020","Import","GA",40301,"Aalesund","4039","Norway",4039,"Norway",31,"Fertilizers",84808,"South Atlantic","Industrial goods",32.0981594893617,-81.0874694893617,40301,"Aalesund","Norway",62.466,6.17
"9","Aalesund Norway",4110,"Port of Long Beach, CA","2020","Import","CA",40301,"Aalesund","4039","Norway",4039,"Norway",70,"All Manufactured Equipment, Machinery and Products",10,"South Pacific","Industrial goods",33.7593811044776,-118.212307373134,40301,"Aalesund","Norway",62.466,6.17
"10","Aalesund Norway",700,"Baltimore, MD","2020","Import","MD",40301,"Aalesund","4039","Norway",4039,"Norway",31,"Fertilizers",48454,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,40301,"Aalesund","Norway",62.466,6.17
"11","Aalesund Norway",2427,"Calhoun Port Authority, TX","2020","Import","TX",40301,"Aalesund","4039","Norway",4039,"Norway",31,"Fertilizers",27166,"Gulf of Mexico","Industrial goods",28.6328045217391,-96.5794426086957,40301,"Aalesund","Norway",62.466,6.17
"12","Aalesund Norway",2017,"Jacksonville, FL","2020","Import","FL",40301,"Aalesund","4039","Norway",4039,"Norway",53,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)",3,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,40301,"Aalesund","Norway",62.466,6.17
"13","Aalesund Norway",2021,"Tampa Port Authority, FL","2020","Import","FL",40301,"Aalesund","4039","Norway",4039,"Norway",29,"Petroleum Products NEC",37335,"Gulf of Mexico","Coal, Oil, and Petrochemicals",27.9051726236559,-82.4451260537634,40301,"Aalesund","Norway",62.466,6.17
"14","Aalesund Norway",2021,"Tampa Port Authority, FL","2020","Import","FL",40301,"Aalesund","4039","Norway",4039,"Norway",70,"All Manufactured Equipment, Machinery and Products",331,"Gulf of Mexico","Industrial goods",27.9051726236559,-82.4451260537634,40301,"Aalesund","Norway",62.466,6.17
"15","Aalesund Norway",4344,"Port of Oakland, CA","2020","Import","CA",40301,"Aalesund","4039","Norway",4039,"Norway",70,"All Manufactured Equipment, Machinery and Products",52,"South Pacific","Industrial goods",37.79946928,-122.2975068,40301,"Aalesund","Norway",62.466,6.17
"16","Aalesund Norway",700,"Baltimore, MD","2020","Import","MD",40301,"Aalesund","4039","Norway",4890,"Turkey",70,"All Manufactured Equipment, Machinery and Products",2,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,40301,"Aalesund","Norway",62.466,6.17
"17","Aalesund Norway",766,"Wilmington, NC","2020","Import","NC",40301,"Aalesund","4039","Norway",4039,"Norway",70,"All Manufactured Equipment, Machinery and Products",553,"South Atlantic","Industrial goods",34.2029665882353,-77.9545586470588,40301,"Aalesund","Norway",62.466,6.17
"18","Aalesund Norway",2017,"Jacksonville, FL","2020","Import","FL",40301,"Aalesund","4039","Norway",4039,"Norway",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",57,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,40301,"Aalesund","Norway",62.466,6.17
"19","Aalesund Norway",2017,"Jacksonville, FL","2020","Import","FL",40301,"Aalesund","4039","Norway",4039,"Norway",55,"Primary Wood Products; Veneer; Plywood",29,"South Atlantic","Wood and Wood Products",30.3683817857143,-81.5721939428571,40301,"Aalesund","Norway",62.466,6.17
"20","Aalesund Norway",2017,"Jacksonville, FL","2020","Import","FL",40301,"Aalesund","4039","Norway",4039,"Norway",32,"Other Chemicals and Related Products",27,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,40301,"Aalesund","Norway",62.466,6.17
"21","Aalesund Norway",2017,"Jacksonville, FL","2020","Import","FL",40301,"Aalesund","4039","Norway",4039,"Norway",70,"All Manufactured Equipment, Machinery and Products",716,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,40301,"Aalesund","Norway",62.466,6.17
"22","Aalesund Norway",2017,"Jacksonville, FL","2020","Import","FL",40301,"Aalesund","4039","Norway",4039,"Norway",23,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",18,"South Atlantic","Coal, Oil, and Petrochemicals",30.3683817857143,-81.5721939428571,40301,"Aalesund","Norway",62.466,6.17
"23","Aalesund Norway",2017,"Jacksonville, FL","2020","Import","FL",40301,"Aalesund","4039","Norway",4039,"Norway",47,"Sulphur (Dry), Clay & Salt",43,"South Atlantic","Ore, Rock and Minerals",30.3683817857143,-81.5721939428571,40301,"Aalesund","Norway",62.466,6.17
"24","Aalesund Norway",2017,"Jacksonville, FL","2020","Import","FL",40301,"Aalesund","4039","Norway",4039,"Norway",51,"Paper & Allied Products",21,"South Atlantic","Wood and Wood Products",30.3683817857143,-81.5721939428571,40301,"Aalesund","Norway",62.466,6.17
"25","Aalesund Norway",776,"Port of Savannah, GA","2020","Import","GA",40301,"Aalesund","4039","Norway",4039,"Norway",32,"Other Chemicals and Related Products",221,"South Atlantic","Industrial goods",32.0981594893617,-81.0874694893617,40301,"Aalesund","Norway",62.466,6.17
"26","Aalesund Norway",4622,"Port of Longview, WA","2020","Import","WA",40301,"Aalesund","4039","Norway",4039,"Norway",31,"Fertilizers",4413,"North Pacific","Industrial goods",46.1100655217391,-122.952019565217,40301,"Aalesund","Norway",62.466,6.17
"27","Aalesund Norway",2017,"Jacksonville, FL","2020","Import","FL",40301,"Aalesund","4039","Norway",4039,"Norway",66,"Vegetable Products",18,"South Atlantic","Agricultural goods",30.3683817857143,-81.5721939428571,40301,"Aalesund","Norway",62.466,6.17
"28","Aalesund Norway",776,"Port of Savannah, GA","2020","Import","GA",40301,"Aalesund","4039","Norway",4039,"Norway",70,"All Manufactured Equipment, Machinery and Products",684,"South Atlantic","Industrial goods",32.0981594893617,-81.0874694893617,40301,"Aalesund","Norway",62.466,6.17
"29","Aalesund Norway",4120,"Port of Los Angeles, CA","2020","Import","CA",40301,"Aalesund","4039","Norway",4039,"Norway",70,"All Manufactured Equipment, Machinery and Products",70,"South Pacific","Industrial goods",33.7435338367347,-118.269611561224,40301,"Aalesund","Norway",62.466,6.17
