"","Schedule K Code","Foreign Port Name","Country Code","Country Name","Update","Latitude","Longitude","Official Port Name/Alias"
"1",1520,"Hamilton, ONT","1220","Canada",NA,43.25,-79.85,"Official"
"2",1527,"Clarkson, ONT","1220","Canada",NA,43.5,-79.6,"Official"
"3",1528,"Britt, ONT","1220","Canada",NA,45.7833,-80.6333,"Official"
"4",1530,"Lakeview, ONT","1220","Canada",NA,43.5667,-79.55,"Alias"
"5",1530,"Mississauga, ONT","1220","Canada",NA,43.5667,-79.55,"Alias"
"6",1530,"Port Credit, ONT","1220","Canada",NA,43.5667,-79.55,"Official"
"7",1535,"Toronto, ONT","1220","Canada",NA,43.61667,-79.38333,"Official"
"8",1652,"Picton, ONT","1220","Canada",NA,44.01667,-77.13333,"Official"
"9",1653,"Bath, ONT","1220","Canada",NA,44.18333,-76.76667,"Official"
"10",1670,"Kingston, ONT","1220","Canada",NA,44.23333,-76.5,"Official"
"11",1690,"Saint Catharines, ONT","1220","Canada",NA,43.18333,-79.28333,"Alias"
"12",1690,"St. Catharines, ONT","1220","Canada",NA,43.18333,-79.28333,"Official"
"13",1694,"Brockville, ONT","1220","Canada",NA,44.59828,-75.68043,"Official"
"14",1696,"Morrisburg, ONT","1220","Canada",NA,44.87,-75.2735,"Official"
"15",1697,"Rocky Point, ONT","1220","Canada",NA,48.385298,-86.582198,"Official"
"16",1700,"Port Johnstown, ONT","1220","Canada",NA,44.7,-75.51667,"Alias"
"17",1700,"Prescott, ONT","1220","Canada",NA,44.7,-75.51667,"Official"
"18",1705,"Cardinal, ONT","1220","Canada",NA,44.78333,-75.38333,"Official"
"19",1784,"Cornwall, ONT","1220","Canada",NA,45.01667,-74.73333,"Official"
"20",1806,"Beauharnois, QUE","1220","Canada",NA,45.31667,-73.883333,"Official"
"21",1807,"Tracy, QUE","1220","Canada",NA,45.996679,-73.176618,"Official"
"22",1822,"Montreal, QUE","1220","Canada",NA,45.51667,-73.55,"Official"
